rank,Symbol,Name,Sector,sleeve,conviction_score,screens_passed,screens_list,LTP,Change%,Turnover_USD,Liquidity_Tier,Quality_Score,Quality_Grade,Darvas_Signal,GC_Signal,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,MagicFormula,ROIC_%,Earnings_Yield_%,BullCartel,ROE_avg_%,Revenue_CAGR_%,Sales_Growth_YoY_%,Profit_Growth_YoY_%,Above_EMA50,Actionable,ML_Direction,ML_Pred_Ret%,ML_Confidence,thesis
31,PTON,,,CORE,54.4,5,Darvas breakout; Golden cross; Quality A/B; Actionable setup; Above EMA50,6.05,-3.35,90884415.0,T1_MOST_LIQUID,67.5,B,BREAKOUT_BUY,GOLDEN_CROSS,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,NEUTRAL,0.231,0.016,"nan (nan). Hits: Darvas breakout; Golden cross; Quality A/B; Actionable setup; Above EMA50. Price $6.05, -3.4% day. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$90,884,415/day. Multi-screen agreement → highest conviction sleeve."
32,AEIS,,,CORE,54.3,3,Darvas breakout; Piotroski strong; Bull Cartel,314.37,-0.93,21389885.0,T2_LIQUID,33.0,D,BREAKOUT_BUY,ABOVE_200DMA,7.0,YES,FAIL,4/6,FAIL,11.73,1.49,PASS,11.33,-0.85,26.3,170.45,0.0,0.0,BEARISH,-33.208,1.0,"nan (nan). Hits: Darvas breakout; Piotroski strong; Bull Cartel. Price $314.37, -0.9% day. Piotroski F=7. Avg ROE 11.3%. Breakout quality D (33). Liquidity T2_LIQUID · ~$21,389,885/day. Multi-screen agreement → highest conviction sleeve."
33,FTNT,"Fortinet, Inc.",Technology,CORE,53.4,5,Coffee Can; Bull Cartel; Quality A/B; ML bullish; Above EMA50,152.07,-1.92,347416300.0,T1_MOST_LIQUID,67.5,B,BREAKDOWN_SELL,ABOVE_200DMA,6.0,NO,PASS,6/6,FAIL,42.99,1.93,PASS,133.3,15.46,20.13,23.33,1.0,0.0,BULLISH,9.787,0.751,"Fortinet, Inc. (Technology). Hits: Coffee Can; Bull Cartel; Quality A/B; ML bullish; Above EMA50. Price $152.07, -1.9% day. Piotroski F=6. Avg ROE 133.3%. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$347,416,300/day. Multi-screen agreement → highest conviction sleeve."
34,BZ,KANZHUN LIMITED - American Depo,Communication Services,CORE,53.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,15.16,-1.56,52078896.0,T1_MOST_LIQUID,67.5,B,BREAKOUT_BUY,BELOW_200DMA,6.0,NO,FAIL,5/6,FAIL,12.2,,FAIL,8.36,22.38,7.57,123.24,1.0,1.0,BULLISH,14.614,1.0,"KANZHUN LIMITED - American Depo (Communication Services). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $15.16, -1.6% day. Piotroski F=6. Avg ROE 8.4%. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$52,078,896/day. Multi-screen agreement → highest conviction sleeve."
35,HON,Honeywell International Inc.,Industrials,CORE,53.3,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,244.38,4.89,573816338.0,T1_MOST_LIQUID,75.0,B,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,FAIL,4/6,FAIL,13.57,7.11,FAIL,32.52,1.82,2.44,-43.34,1.0,1.0,BULLISH,4.689,0.639,"Honeywell International Inc. (Industrials). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $244.38, +4.9% day. Piotroski F=5. Avg ROE 32.5%. Breakout quality B (75). Liquidity T1_MOST_LIQUID · ~$573,816,338/day. Multi-screen agreement → highest conviction sleeve."
36,CEG,Constellation Energy Corporatio,Utilities,CORE,52.4,4,Darvas breakout; Bull Cartel; Quality A/B; Above EMA50,276.02,0.41,413126513.0,T1_MOST_LIQUID,68.0,B,BREAKOUT_BUY,BELOW_200DMA,6.0,NO,FAIL,3/6,FAIL,8.16,3.55,PASS,14.46,1.47,63.85,1247.46,1.0,0.0,BULLISH,0.543,0.041,"Constellation Energy Corporatio (Utilities). Hits: Darvas breakout; Bull Cartel; Quality A/B; Above EMA50. Price $276.02, +0.4% day. Piotroski F=6. Avg ROE 14.5%. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$413,126,513/day. Multi-screen agreement → highest conviction sleeve."
37,FANG,"Diamondback Energy, Inc.",Energy,CORE,52.3,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,206.02,1.48,271136380.0,T1_MOST_LIQUID,61.5,B,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,FAIL,5/6,FAIL,3.22,3.18,FAIL,15.37,15.99,4.44,-98.22,1.0,1.0,BULLISH,5.873,0.702,"Diamondback Energy, Inc. (Energy). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $206.02, +1.5% day. Piotroski F=5. Avg ROE 15.4%. Breakout quality B (62). Liquidity T1_MOST_LIQUID · ~$271,136,380/day. Multi-screen agreement → highest conviction sleeve."
38,SBRA,"Sabra Health Care REIT, Inc.",Real Estate,CORE,52.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,21.98,0.0,27111732.0,T2_LIQUID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,6.0,NO,FAIL,3/6,FAIL,5.23,3.58,FAIL,2.02,7.43,20.82,1.43,1.0,1.0,BULLISH,9.822,1.0,"Sabra Health Care REIT, Inc. (Real Estate). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $21.98, +0.0% day. Piotroski F=6. Avg ROE 2.0%. Breakout quality B (63). Liquidity T2_LIQUID · ~$27,111,732/day. Multi-screen agreement → highest conviction sleeve."
39,SMCI,"Super Micro Computer, Inc.",Technology,CORE,51.6,4,Darvas breakout; Bull Cartel; Quality A/B; Above EMA50,30.97,1.34,768765574.0,T1_MOST_LIQUID,66.0,B,BREAKOUT_BUY,BELOW_200DMA,5.0,NO,FAIL,5/6,FAIL,10.89,4.94,PASS,22.59,61.71,122.68,344.38,1.0,0.0,BEARISH,-7.85,0.31,"Super Micro Computer, Inc. (Technology). Hits: Darvas breakout; Bull Cartel; Quality A/B; Above EMA50. Price $30.97, +1.3% day. Piotroski F=5. Avg ROE 22.6%. Breakout quality B (66). Liquidity T1_MOST_LIQUID · ~$768,765,574/day. Multi-screen agreement → highest conviction sleeve."
40,STRL,"Sterling Infrastructure, Inc.",Industrials,CORE,51.5,3,Darvas breakout; Coffee Can; Bull Cartel,724.27,0.69,25924430.0,T2_LIQUID,39.0,D,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,PASS,6/6,FAIL,26.58,2.07,PASS,25.72,12.06,91.59,143.1,0.0,0.0,BEARISH,-1.652,0.061,"Sterling Infrastructure, Inc. (Industrials). Hits: Darvas breakout; Coffee Can; Bull Cartel. Price $724.27, +0.7% day. Piotroski F=5. Avg ROE 25.7%. Breakout quality D (39). Liquidity T2_LIQUID · ~$25,924,430/day. Multi-screen agreement → highest conviction sleeve."
41,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,CORE,51.3,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,84.28,-1.63,37021334.0,T2_LIQUID,61.5,B,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,FAIL,4/6,FAIL,6.98,2.93,FAIL,29.0,4.34,5.57,50.41,1.0,1.0,BULLISH,6.621,0.635,"The Cheesecake Factory Incorpor (Consumer Cyclical). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $84.28, -1.6% day. Piotroski F=5. Avg ROE 29.0%. Breakout quality B (62). Liquidity T2_LIQUID · ~$37,021,334/day. Multi-screen agreement → highest conviction sleeve."
42,GEN,Gen Digital Inc.,Technology,CORE,51.3,4,Piotroski strong; Bull Cartel; Quality A/B; Above EMA50,25.12,-1.8,90112055.0,T1_MOST_LIQUID,70.0,B,BREAKDOWN_SELL,ABOVE_200DMA,7.0,YES,FAIL,5/6,FAIL,16.15,8.72,PASS,38.65,14.66,27.03,260.56,1.0,0.0,BEARISH,-8.235,0.744,"Gen Digital Inc. (Technology). Hits: Piotroski strong; Bull Cartel; Quality A/B; Above EMA50. Price $25.12, -1.8% day. Piotroski F=7. Avg ROE 38.6%. Breakout quality B (70). Liquidity T1_MOST_LIQUID · ~$90,112,055/day. Multi-screen agreement → highest conviction sleeve."
43,ADSK,"Autodesk, Inc.",Technology,CORE,51.2,3,Piotroski strong; Coffee Can; Bull Cartel,205.27,0.87,338909990.0,T1_MOST_LIQUID,31.5,D,IN_BOX,BELOW_200DMA,7.0,YES,PASS,6/6,FAIL,26.94,4.15,PASS,50.01,12.92,18.43,223.03,0.0,0.0,BULLISH,0.527,0.054,"Autodesk, Inc. (Technology). Hits: Piotroski strong; Coffee Can; Bull Cartel. Price $205.27, +0.9% day. Piotroski F=7. Avg ROE 50.0%. Breakout quality D (32). Liquidity T1_MOST_LIQUID · ~$338,909,990/day. Multi-screen agreement → highest conviction sleeve."
44,TTE,,,CORE,51.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,86.46,1.83,81917582.0,T1_MOST_LIQUID,87.5,A,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,8.762,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $86.46, +1.8% day. Breakout quality A (88). Liquidity T1_MOST_LIQUID · ~$81,917,582/day. Multi-screen agreement → highest conviction sleeve."
45,CLMT,"Calumet, Inc",Basic Materials,CORE,50.9,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,43.03,-2.51,3035601.0,T3_MID,67.5,B,BREAKOUT_BUY,ABOVE_200DMA,6.0,NO,FAIL,2/6,FAIL,4.84,1.55,FAIL,,-4.07,3.6,-95.68,1.0,1.0,BULLISH,26.492,1.0,"Calumet, Inc (Basic Materials). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $43.03, -2.5% day. Piotroski F=6. Breakout quality B (68). Liquidity T3_MID · ~$3,035,601/day. Multi-screen agreement → highest conviction sleeve."
46,CNQ,,,CORE,50.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,47.04,2.69,141107406.0,T1_MOST_LIQUID,80.0,A,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,8.748,0.954,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $47.04, +2.7% day. Breakout quality A (80). Liquidity T1_MOST_LIQUID · ~$141,107,406/day. Multi-screen agreement → highest conviction sleeve."
47,NVCR,,,CORE,50.3,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,20.39,30.96,27374002.0,T2_LIQUID,91.0,A,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,18.637,0.886,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $20.39, +31.0% day. Breakout quality A (91). Liquidity T2_LIQUID · ~$27,374,002/day. Multi-screen agreement → highest conviction sleeve."
48,DAC,,,CORE,50.1,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,136.73,3.43,8664465.0,T2_LIQUID,88.8,A,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,7.22,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $136.73, +3.4% day. Breakout quality A (89). Liquidity T2_LIQUID · ~$8,664,465/day. Multi-screen agreement → highest conviction sleeve."
49,SEZL,Sezzle Inc.,Financial Services,CORE,50.1,4,Piotroski strong; Bull Cartel; Quality A/B; Above EMA50,159.52,-8.45,33458868.0,T2_LIQUID,67.5,B,BREAKDOWN_SELL,ABOVE_200DMA,7.0,YES,FAIL,4/6,FAIL,52.43,2.56,PASS,-57.71,53.06,29.19,41.86,1.0,0.0,BULLISH,10.889,0.503,"Sezzle Inc. (Financial Services). Hits: Piotroski strong; Bull Cartel; Quality A/B; Above EMA50. Price $159.52, -8.4% day. Piotroski F=7. Avg ROE -57.7%. Breakout quality B (68). Liquidity T2_LIQUID · ~$33,458,868/day. Multi-screen agreement → highest conviction sleeve."
50,TMHC,,,CORE,50.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,72.47,0.0,41854733.0,T1_MOST_LIQUID,75.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,10.268,0.997,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $72.47, +0.0% day. Breakout quality B (75). Liquidity T1_MOST_LIQUID · ~$41,854,733/day. Multi-screen agreement → highest conviction sleeve."
51,CDNS,"Cadence Design Systems, Inc.",Technology,CORE,49.8,3,Piotroski strong; Coffee Can; Bull Cartel,332.39,-1.37,368799679.0,T1_MOST_LIQUID,14.5,D,IN_BOX,ABOVE_200DMA,7.0,YES,PASS,6/6,FAIL,19.24,1.55,PASS,26.09,14.14,18.66,22.69,0.0,0.0,BEARISH,-7.39,0.726,"Cadence Design Systems, Inc. (Technology). Hits: Piotroski strong; Coffee Can; Bull Cartel. Price $332.39, -1.4% day. Piotroski F=7. Avg ROE 26.1%. Breakout quality D (14). Liquidity T1_MOST_LIQUID · ~$368,799,679/day. Multi-screen agreement → highest conviction sleeve."
52,VLO,,,CORE,49.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,307.95,-0.96,395377657.0,T1_MOST_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,13.023,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $307.95, -1.0% day. Breakout quality B (70). Liquidity T1_MOST_LIQUID · ~$395,377,657/day. Multi-screen agreement → highest conviction sleeve."
53,KSS,,,CORE,49.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,18.1,-5.14,91496053.0,T1_MOST_LIQUID,70.0,B,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,16.78,0.701,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $18.10, -5.1% day. Breakout quality B (70). Liquidity T1_MOST_LIQUID · ~$91,496,053/day. Multi-screen agreement → highest conviction sleeve."
54,GTLS,,,CORE,49.6,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,209.9,0.0,83644081.0,T1_MOST_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,0.624,0.809,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $209.90, +0.0% day. Breakout quality B (70). Liquidity T1_MOST_LIQUID · ~$83,644,081/day. Multi-screen agreement → highest conviction sleeve."
55,BTSG,"BrightSpring Health Services, I",Healthcare,CORE,49.6,4,Piotroski strong; Bull Cartel; Quality A/B; Above EMA50,69.04,-1.0,37662274.0,T2_LIQUID,61.5,B,IN_BOX,ABOVE_200DMA,7.0,YES,FAIL,3/6,FAIL,6.47,1.91,PASS,-6.13,18.69,25.56,403.58,1.0,0.0,NEUTRAL,0.253,0.028,"BrightSpring Health Services, I (Healthcare). Hits: Piotroski strong; Bull Cartel; Quality A/B; Above EMA50. Price $69.04, -1.0% day. Piotroski F=7. Avg ROE -6.1%. Breakout quality B (62). Liquidity T2_LIQUID · ~$37,662,274/day. Multi-screen agreement → highest conviction sleeve."
56,SHEL,,,CORE,49.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,88.48,0.81,252491528.0,T1_MOST_LIQUID,67.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,3.738,0.588,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $88.48, +0.8% day. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$252,491,528/day. Multi-screen agreement → highest conviction sleeve."
57,SIG,,,CORE,49.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,89.35,-1.4,62039509.0,T1_MOST_LIQUID,67.5,B,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,13.925,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $89.35, -1.4% day. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$62,039,509/day. Multi-screen agreement → highest conviction sleeve."
58,NOV,,,CORE,49.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,20.2,-0.64,57833416.0,T1_MOST_LIQUID,67.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,6.851,0.719,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $20.20, -0.6% day. Breakout quality B (68). Liquidity T1_MOST_LIQUID · ~$57,833,416/day. Multi-screen agreement → highest conviction sleeve."
59,GPCR,Structure Therapeutics Inc.,Healthcare,CORE,49.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,51.07,1.31,22411118.0,T2_LIQUID,63.0,B,BREAKOUT_BUY,BELOW_200DMA,2.0,NO,FAIL,2/6,FAIL,-12.28,-9.25,FAIL,-14.42,,,-62.21,1.0,1.0,BULLISH,25.362,0.65,"Structure Therapeutics Inc. (Healthcare). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $51.07, +1.3% day. Piotroski F=2. Avg ROE -14.4%. Breakout quality B (63). Liquidity T2_LIQUID · ~$22,411,118/day. Multi-screen agreement → highest conviction sleeve."
60,DBD,,,CORE,49.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,87.56,0.52,7783200.0,T2_LIQUID,80.0,A,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,6.049,0.587,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $87.56, +0.5% day. Breakout quality A (80). Liquidity T2_LIQUID · ~$7,783,200/day. Multi-screen agreement → highest conviction sleeve."
61,CSTL,,,CORE,49.4,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,25.22,1.65,7060669.0,T2_LIQUID,80.0,A,BREAKOUT_BUY,BELOW_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,10.657,0.581,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $25.22, +1.6% day. Breakout quality A (80). Liquidity T2_LIQUID · ~$7,060,669/day. Multi-screen agreement → highest conviction sleeve."
62,DVN,,,CORE,49.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,45.47,1.31,353766118.0,T1_MOST_LIQUID,64.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,7.897,0.836,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $45.47, +1.3% day. Breakout quality B (64). Liquidity T1_MOST_LIQUID · ~$353,766,118/day. Multi-screen agreement → highest conviction sleeve."
63,BP,,,CORE,49.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,44.08,1.75,257644413.0,T1_MOST_LIQUID,64.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,7.14,0.902,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $44.08, +1.8% day. Breakout quality B (64). Liquidity T1_MOST_LIQUID · ~$257,644,413/day. Multi-screen agreement → highest conviction sleeve."
64,PBR,,,CORE,49.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,19.15,1.38,189400151.0,T1_MOST_LIQUID,64.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,8.381,0.839,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $19.15, +1.4% day. Breakout quality B (64). Liquidity T1_MOST_LIQUID · ~$189,400,151/day. Multi-screen agreement → highest conviction sleeve."
65,PRU,,,CORE,49.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,117.72,-0.95,149438135.0,T1_MOST_LIQUID,64.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,5.832,0.913,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $117.72, -0.9% day. Breakout quality B (64). Liquidity T1_MOST_LIQUID · ~$149,438,135/day. Multi-screen agreement → highest conviction sleeve."
66,TX,,,CORE,49.2,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,47.13,1.9,7252072.0,T2_LIQUID,77.8,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,6.571,0.78,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $47.13, +1.9% day. Breakout quality B (78). Liquidity T2_LIQUID · ~$7,252,072/day. Multi-screen agreement → highest conviction sleeve."
67,LNG,,,CORE,49.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,272.32,1.84,289759635.0,T1_MOST_LIQUID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,9.203,0.979,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $272.32, +1.8% day. Breakout quality B (63). Liquidity T1_MOST_LIQUID · ~$289,759,635/day. Multi-screen agreement → highest conviction sleeve."
68,HSBC,,,CORE,49.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,101.84,-1.23,65445796.0,T1_MOST_LIQUID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,18.032,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $101.84, -1.2% day. Breakout quality B (63). Liquidity T1_MOST_LIQUID · ~$65,445,796/day. Multi-screen agreement → highest conviction sleeve."
69,VIRT,,,CORE,49.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,60.23,1.12,25718573.0,T2_LIQUID,75.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,10.706,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $60.23, +1.1% day. Breakout quality B (75). Liquidity T2_LIQUID · ~$25,718,573/day. Multi-screen agreement → highest conviction sleeve."
70,OII,,,CORE,49.0,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,48.72,8.27,15862890.0,T2_LIQUID,75.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,12.031,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $48.72, +8.3% day. Breakout quality B (75). Liquidity T2_LIQUID · ~$15,862,890/day. Multi-screen agreement → highest conviction sleeve."
71,FCNCA,"First Citizens BancShares, Inc.",Financial Services,CORE,49.0,4,Darvas breakout; Quality A/B; Actionable setup; Above EMA50,2205.1,6.14,117522298.0,T1_MOST_LIQUID,83.8,A,BREAKOUT_BUY,ABOVE_200DMA,5.0,NO,FAIL,5/6,FAIL,,,FAIL,21.93,26.91,0.74,10.56,1.0,1.0,BULLISH,3.646,0.549,"First Citizens BancShares, Inc. (Financial Services). Hits: Darvas breakout; Quality A/B; Actionable setup; Above EMA50. Price $2205.10, +6.1% day. Piotroski F=5. Avg ROE 21.9%. Breakout quality A (84). Liquidity T1_MOST_LIQUID · ~$117,522,298/day. Multi-screen agreement → highest conviction sleeve."
72,PCG,,,CORE,48.9,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,17.69,-2.32,240817527.0,T1_MOST_LIQUID,61.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,6.211,0.894,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $17.69, -2.3% day. Breakout quality B (62). Liquidity T1_MOST_LIQUID · ~$240,817,527/day. Multi-screen agreement → highest conviction sleeve."
73,MUSA,,,CORE,48.9,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,620.65,0.45,81240873.0,T1_MOST_LIQUID,61.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,7.976,0.728,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $620.65, +0.5% day. Breakout quality B (62). Liquidity T1_MOST_LIQUID · ~$81,240,873/day. Multi-screen agreement → highest conviction sleeve."
74,MUR,,,CORE,48.9,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,39.5,1.91,54991565.0,T1_MOST_LIQUID,61.5,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,FAIL,,,,,1.0,1.0,BULLISH,8.219,0.708,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $39.50, +1.9% day. Breakout quality B (62). Liquidity T1_MOST_LIQUID · ~$54,991,565/day. Multi-screen agreement → highest conviction sleeve."
75,PAM,,,CORE,48.8,5,Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50,88.87,-0.58,8049079.0,T2_LIQUID,64.5,B,BREAKOUT_BUY,ABOVE_200DMA,1.0,NO,FAIL,1/6,FAIL,,,FAIL,,2.99,,,1.0,1.0,BULLISH,14.701,1.0,"nan (nan). Hits: Darvas breakout; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $88.87, -0.6% day. Piotroski F=1. Breakout quality B (64). Liquidity T2_LIQUID · ~$8,049,079/day. Multi-screen agreement → highest conviction sleeve."
