rank,Symbol,Name,Sector,sleeve,conviction_score,screens_passed,screens_list,LTP,Change%,Turnover_USD,Liquidity_Tier,Quality_Score,Quality_Grade,Darvas_Signal,GC_Signal,Piotroski_Score,Piotroski_Strong,CoffeeCan,CC_Score,MagicFormula,ROIC_%,Earnings_Yield_%,BullCartel,ROE_avg_%,Revenue_CAGR_%,Sales_Growth_YoY_%,Profit_Growth_YoY_%,Above_EMA50,Actionable,ML_Direction,ML_Pred_Ret%,ML_Confidence,thesis
11,TIGO,Millicom International Cellular,Communication Services,CORE,62.8,5,Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50,96.55,-1.34,2092914.0,T3_MID,61.5,B,BREAKOUT_BUY,ABOVE_200DMA,8.0,YES,FAIL,2/6,FAIL,16.26,8.3,FAIL,11.43,1.14,45.1,-43.52,1.0,1.0,BEARISH,-8.759,0.896,"Millicom International Cellular (Communication Services). Hits: Darvas breakout; Piotroski strong; Quality A/B; Actionable setup; Above EMA50. Price $96.55, -1.3% day. Piotroski F=8. Avg ROE 11.4%. Breakout quality B (62). Liquidity T3_MID · ~$2,092,914/day. Multi-screen agreement → highest conviction sleeve."
12,EXE,Expand Energy Corporation,Energy,CORE,60.8,4,Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50,92.41,-0.82,149596801.0,T1_MOST_LIQUID,55.5,C,BREAKOUT_BUY,BELOW_200DMA,8.0,YES,FAIL,4/6,FAIL,9.91,10.56,PASS,20.59,2.13,100.27,565.46,1.0,0.0,BULLISH,2.108,0.245,"Expand Energy Corporation (Energy). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50. Price $92.41, -0.8% day. Piotroski F=8. Avg ROE 20.6%. Breakout quality C (56). Liquidity T1_MOST_LIQUID · ~$149,596,801/day. Multi-screen agreement → highest conviction sleeve."
13,ATAT,Atour Lifestyle Holdings Limite,Consumer Cyclical,CORE,59.8,4,Piotroski strong; Coffee Can; Magic Formula; Bull Cartel,31.29,-0.54,19163221.0,T2_LIQUID,26.8,D,IN_BOX,BELOW_200DMA,7.0,YES,PASS,6/6,PASS,43.5,2736.37,PASS,33.02,62.94,47.51,90.91,0.0,0.0,BULLISH,1.819,0.182,"Atour Lifestyle Holdings Limite (Consumer Cyclical). Hits: Piotroski strong; Coffee Can; Magic Formula; Bull Cartel. Price $31.29, -0.5% day. Piotroski F=7. Avg ROE 33.0%. Breakout quality D (27). Liquidity T2_LIQUID · ~$19,163,221/day. Multi-screen agreement → highest conviction sleeve."
14,NBIS,Nebius Group N.V.,Communication Services,CORE,59.7,4,Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50,218.91,0.34,927191688.0,T1_MOST_LIQUID,51.0,C,BREAKOUT_BUY,ABOVE_200DMA,7.0,YES,FAIL,2/6,FAIL,0.69,0.15,PASS,1.74,239.83,683.89,647.31,1.0,0.0,INSUFFICIENT_DATA,0.0,0.0,"Nebius Group N.V. (Communication Services). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50. Price $218.91, +0.3% day. Piotroski F=7. Avg ROE 1.7%. Breakout quality C (51). Liquidity T1_MOST_LIQUID · ~$927,191,688/day. Multi-screen agreement → highest conviction sleeve."
15,LITE,Lumentum Holdings Inc.,Technology,CORE,59.6,4,Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50,836.03,0.76,79612250.0,T1_MOST_LIQUID,49.5,C,BREAKOUT_BUY,ABOVE_200DMA,7.0,YES,FAIL,1/6,FAIL,-3.92,-0.24,PASS,-13.48,-1.33,90.12,426.98,1.0,0.0,BEARISH,-28.848,1.0,"Lumentum Holdings Inc. (Technology). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50. Price $836.03, +0.8% day. Piotroski F=7. Avg ROE -13.5%. Breakout quality C (50). Liquidity T1_MOST_LIQUID · ~$79,612,250/day. Multi-screen agreement → highest conviction sleeve."
16,ROST,"Ross Stores, Inc.",Consumer Cyclical,CORE,58.6,5,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,232.51,-2.39,278072122.0,T1_MOST_LIQUID,70.0,B,BREAKOUT_BUY,ABOVE_200DMA,6.0,NO,FAIL,5/6,FAIL,26.86,4.03,PASS,36.59,6.76,20.57,35.62,1.0,1.0,BEARISH,-0.741,0.109,"Ross Stores, Inc. (Consumer Cyclical). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $232.51, -2.4% day. Piotroski F=6. Avg ROE 36.6%. Breakout quality B (70). Liquidity T1_MOST_LIQUID · ~$278,072,122/day. Multi-screen agreement → highest conviction sleeve."
17,ARGX,argenx SE,Healthcare,CORE,58.4,5,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,909.03,6.73,117563872.0,T1_MOST_LIQUID,83.8,A,BREAKOUT_BUY,ABOVE_200DMA,4.0,NO,FAIL,4/6,FAIL,17.42,2.6,PASS,0.09,116.25,64.3,116.57,1.0,1.0,BEARISH,-1.905,0.231,"argenx SE (Healthcare). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $909.03, +6.7% day. Piotroski F=4. Avg ROE 0.1%. Breakout quality A (84). Liquidity T1_MOST_LIQUID · ~$117,563,872/day. Multi-screen agreement → highest conviction sleeve."
18,ESLT,Elbit Systems Ltd.,Industrials,CORE,58.4,4,Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50,811.67,2.39,5994486.0,T3_MID,57.0,C,BREAKOUT_BUY,ABOVE_200DMA,8.0,YES,FAIL,5/6,FAIL,9.48,1.84,PASS,10.01,12.93,15.46,50.16,1.0,0.0,BEARISH,-4.051,0.308,"Elbit Systems Ltd. (Industrials). Hits: Darvas breakout; Piotroski strong; Bull Cartel; Above EMA50. Price $811.67, +2.4% day. Piotroski F=8. Avg ROE 10.0%. Breakout quality C (57). Liquidity T3_MID · ~$5,994,486/day. Multi-screen agreement → highest conviction sleeve."
19,JAZZ,Jazz Pharmaceuticals plc,Healthcare,CORE,58.1,5,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50,253.31,1.16,78748920.0,T1_MOST_LIQUID,80.0,A,BREAKOUT_BUY,ABOVE_200DMA,4.0,NO,FAIL,2/6,FAIL,-4.6,-2.47,PASS,2.32,5.26,19.06,416.86,1.0,1.0,BEARISH,-2.11,0.186,"Jazz Pharmaceuticals plc (Healthcare). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; Above EMA50. Price $253.31, +1.2% day. Piotroski F=4. Avg ROE 2.3%. Breakout quality A (80). Liquidity T1_MOST_LIQUID · ~$78,748,920/day. Multi-screen agreement → highest conviction sleeve."
20,HAFN,,,CORE,58.0,6,Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; ML bullish; Above EMA50,7.59,0.8,6822522.0,T2_LIQUID,63.0,B,BREAKOUT_BUY,ABOVE_200DMA,,NO,FAIL,,FAIL,,,PASS,,,22.51,184.43,1.0,1.0,BULLISH,7.363,0.707,"nan (nan). Hits: Darvas breakout; Bull Cartel; Quality A/B; Actionable setup; ML bullish; Above EMA50. Price $7.59, +0.8% day. Breakout quality B (63). Liquidity T2_LIQUID · ~$6,822,522/day. Multi-screen agreement → highest conviction sleeve."
